,medal_type,medal_code,medal_date,athlete_short_name,athlete_name,athlete_sex,athlete_link,country_code,discipline_code,event,country,discipline
0,Gold Medal,1,2021-07-24 00:00:00.0,KIM JD,KIM Je Deok,,../../../en/results/archery/athlete-profile-n1440267-kim-je-deok.htm,KOR,ARC,Mixed Team,Republic of Korea,Archery
1,Gold Medal,1,2021-07-24 00:00:00.0,AN S,AN San,X,../../../en/results/archery/athlete-profile-n1338248-an-san.htm,KOR,ARC,Mixed Team,Republic of Korea,Archery
2,Silver Medal,2,2021-07-24 00:00:00.0,SCHLOESSER G,SCHLOESSER Gabriela,X,../../../en/results/archery/athlete-profile-n1458456-schloesser-gabriela.htm,NED,ARC,Mixed Team,Netherlands,Archery
3,Silver Medal,2,2021-07-24 00:00:00.0,WIJLER S,WIJLER Steve,,../../../en/results/archery/athlete-profile-n1458465-wijler-steve.htm,NED,ARC,Mixed Team,Netherlands,Archery
4,Bronze Medal,3,2021-07-24 00:00:00.0,ALVAREZ L,ALVAREZ Luis,X,../../../en/results/archery/athlete-profile-n1294470-alvarez-luis.htm,MEX,ARC,Mixed Team,Mexico,Archery
5,Bronze Medal,3,2021-07-24 00:00:00.0,VALENCIA A,VALENCIA Alejandra,,../../../en/results/archery/athlete-profile-n1294484-valencia-alejandra.htm,MEX,ARC,Mixed Team,Mexico,
6,Gold Medal,1,2021-07-24 00:00:00.0,CARAPAZ R,CARAPAZ Richard,M,../../../en/results/cycling-road/athlete-profile-n1473746-carapaz-richard.htm,ECU,CRD,Men's Road Race,Ecuador,Cycling Road
7,Silver Medal,2,2021-07-24 00:00:00.0,van AERT W,van AERT Wout,,../../../en/results/cycling-road/athlete-profile-n1393553-van-aert-wout.htm,BEL,CRD,Men's Road Race,Belgium,Cycling Road
8,Bronze Medal,3,2021-07-24 00:00:00.0,POGACAR T,POGACAR Tadej,M,../../../en/results/cycling-road/athlete-profile-n1429471-pogacar-tadej.htm,SLO,CRD,Men's Road Race,Slovenia,
9,Gold Medal,1,2021-07-24 00:00:00.0,SZILAGYI A,SZILAGYI Aron,,../../../en/results/fencing/athlete-profile-n1343521-szilagyi-aron.htm,HUN,FEN,Men's Sabre Individual,Hungary,
10,Silver Medal,2,2021-07-24 00:00:00.0,SAMELE L,SAMELE Luigi,,../../../en/results/fencing/athlete-profile-n1312472-samele-luigi.htm,ITA,FEN,Men's Sabre Individual,Italy,Fencing
11,Bronze Medal,3,2021-07-24 00:00:00.0,KIM J,KIM Junghwan,M,../../../en/results/fencing/athlete-profile-n1335688-kim-junghwan.htm,KOR,FEN,Men's Sabre Individual,Republic of Korea,Fencing
12,Gold Medal,1,2021-07-24 00:00:00.0,SUN Y,SUN Yiwen,W,../../../en/results/fencing/athlete-profile-n1392791-sun-yiwen.htm,CHN,FEN,Women's &Eacute;p&eacute;e Individual,People's Republic of China,Fencing
13,Silver Medal,2,2021-07-24 00:00:00.0,POPESCU AM,POPESCU Ana Maria,W,../../../en/results/fencing/athlete-profile-n1290683-popescu-ana-maria.htm,ROU,FEN,Women's &Eacute;p&eacute;e Individual,Romania,Fencing
14,Bronze Medal,3,2021-07-24 00:00:00.0,LEHIS K,LEHIS Katrina,W,../../../en/results/fencing/athlete-profile-n1374081-lehis-katrina.htm,EST,FEN,Women's &Eacute;p&eacute;e Individual,Estonia,Fencing
15,Gold Medal,1,2021-07-24 00:00:00.0,TAKATO N,TAKATO Naohisa,,../../../en/results/judo/athlete-profile-n1315348-takato-naohisa.htm,JPN,JUD,Men -60 kg,Japan,Judo
16,Silver Medal,2,2021-07-24 00:00:00.0,YANG YW,YANG Yung Wei,,../../../en/results/judo/athlete-profile-n1431837-yang-yung-wei.htm,TPE,JUD,Men -60 kg,Chinese Taipei,Judo
17,Bronze Medal,3,2021-07-24 00:00:00.0,MKHEIDZE L,MKHEIDZE Luka,,../../../en/results/judo/athlete-profile-n1403680-mkheidze-luka.htm,FRA,JUD,Men -60 kg,France,Judo
